Neighbourhood_ID,Neighbourhood,PopulationCount,PopulationDensity_Per_SqKM,PopulationCount_0_14,PopulationCount_15_24,PopulationCount_25_54,PopulationCount_55_64,PopulationCount_65+,Percentage of residents do not speak English or French,Percentage of residents whose mother tongue is not English or French,Percentage of residents who do not speak offical languages at home,Percentage of residents with totoal income of $150K and over,Percentage of Household Income of Over $200K,Percentage of Non Canadian Citizen,Percentage of visible minority,Percentage with no certificate/diploma/degree,Percentage with  Bachelor degree or above,UnemploymentRate,Percentage of Movers (mobility status 1 year ago),Percentage of Movers (mobility status 5 year ago),Latitude,Longitude,No. of Robberies in 2014,No. of Robberies in 2015,No. of Robberies in 2016,No. of Robberies in 2017,No. of Robberies in 2018,No. of Robberies (2014-2018)
51,Willowdale East,50434,10087,5920,6940,25850,5460,6270,0.06,0.69,0.51,0.04,0.07,0.30,0.75,0.07,0.57,0.09,0.25,0.58,43.76,-79.40,26,32,39,58,78,234
52,Bayview Village,21396,4195,2415,2505,10310,2540,3615,0.04,0.61,0.43,0.05,0.09,0.23,0.69,0.07,0.52,0.08,0.20,0.55,43.77,-79.37,7,5,12,8,6,38
53,Henry Farm,15723,6047,2505,2330,8045,1390,1460,0.05,0.62,0.46,0.02,0.04,0.36,0.77,0.09,0.48,0.10,0.26,0.64,43.77,-79.34,1,3,1,11,7,23
54,O'Connor-Parkview,18675,3780,3110,2385,7855,2650,2690,0.03,0.35,0.19,0.03,0.07,0.13,0.38,0.19,0.26,0.10,0.13,0.38,43.71,-79.32,20,6,26,10,5,73
55,Thorncliffe Park,21108,6787,5600,2455,9020,1665,2365,0.06,0.68,0.57,0.01,0.01,0.27,0.79,0.21,0.33,0.13,0.16,0.52,43.71,-79.35,16,10,15,9,5,55
56,Leaside-Bennington,16828,3596,3285,2175,6455,2340,2550,0.00,0.16,0.05,0.19,0.35,0.05,0.18,0.08,0.57,0.07,0.09,0.30,43.70,-79.36,7,12,9,11,8,47
57,Broadview North,11499,6764,1470,1040,5680,1435,1865,0.03,0.40,0.22,0.03,0.06,0.12,0.28,0.17,0.36,0.08,0.14,0.40,43.69,-79.36,6,5,8,1,4,24
58,Old East York,9233,3997,1470,915,4035,1280,1520,0.02,0.33,0.16,0.04,0.11,0.06,0.27,0.17,0.32,0.05,0.09,0.29,43.70,-79.34,18,6,10,8,9,51
59,Danforth East York,17180,7881,3020,1450,7930,2135,2655,0.04,0.32,0.18,0.04,0.10,0.06,0.30,0.18,0.37,0.07,0.10,0.31,43.69,-79.33,4,7,6,7,10,34
60,Woodbine-Lumsden,7865,6722,1165,675,3790,1150,1095,0.03,0.27,0.14,0.02,0.06,0.06,0.31,0.15,0.34,0.07,0.12,0.37,43.69,-79.31,9,7,10,8,9,43
61,Taylor-Massey,15683,15528,2950,1690,7580,1750,1705,0.03,0.53,0.40,0.00,0.01,0.24,0.67,0.16,0.36,0.12,0.15,0.46,43.70,-79.30,27,30,15,15,16,103
62,East End-Danforth,21381,8038,3735,2210,9990,2805,2650,0.02,0.22,0.11,0.05,0.10,0.10,0.31,0.13,0.40,0.08,0.12,0.37,43.68,-79.30,36,34,39,39,29,177
63,The Beaches,21567,6058,3825,2075,9590,3140,2955,0.00,0.11,0.03,0.14,0.24,0.06,0.14,0.08,0.52,0.06,0.14,0.38,43.67,-79.30,15,11,17,48,15,106
64,Woodbine Corridor,12541,7838,2325,1035,6165,1625,1380,0.02,0.19,0.09,0.05,0.11,0.06,0.27,0.14,0.42,0.08,0.10,0.34,43.68,-79.32,10,15,5,11,17,58
65,Greenwood-Coxwell,14417,8582,2460,1305,7240,1765,1640,0.05,0.29,0.17,0.03,0.08,0.07,0.39,0.16,0.39,0.07,0.13,0.34,43.67,-79.32,14,19,8,15,20,76
66,Danforth,9666,8554,1675,920,4370,1195,1515,0.05,0.30,0.17,0.05,0.13,0.07,0.26,0.18,0.41,0.06,0.11,0.29,43.68,-79.33,20,29,33,45,50,177
67,Playter Estates-Danforth,7804,8671,1150,735,3725,970,1220,0.02,0.21,0.09,0.10,0.18,0.07,0.20,0.10,0.52,0.06,0.12,0.39,43.68,-79.36,21,17,14,9,11,73
68,North Riverdale,11916,6770,1960,1170,5490,1645,1660,0.04,0.22,0.10,0.11,0.21,0.06,0.24,0.11,0.53,0.05,0.10,0.32,43.67,-79.35,21,27,31,23,17,120
69,Blake-Jones,7727,8134,1405,885,3605,940,895,0.06,0.30,0.19,0.05,0.10,0.06,0.39,0.19,0.39,0.09,0.12,0.32,43.67,-79.34,11,10,9,15,11,56
70,South Riverdale,27876,3136,3975,2445,15025,3120,3330,0.08,0.30,0.19,0.06,0.12,0.09,0.42,0.18,0.41,0.07,0.14,0.41,43.64,-79.33,46,37,37,55,22,197
71,Cabbagetown-South St.James Town,11669,8335,800,1035,5855,1715,2250,0.02,0.24,0.10,0.07,0.11,0.09,0.29,0.08,0.50,0.08,0.17,0.43,43.67,-79.37,14,22,25,45,29,135
72,Regent Park,10803,16880,1635,1775,5575,1100,730,0.06,0.49,0.35,0.02,0.03,0.12,0.70,0.21,0.34,0.10,0.21,0.55,43.66,-79.36,22,15,21,17,33,108
73,Moss Park,20506,14753,1540,2060,12530,2495,1900,0.02,0.30,0.14,0.05,0.07,0.12,0.43,0.10,0.50,0.07,0.23,0.58,43.66,-79.36,125,133,118,93,159,630
74,North St.James Town,18615,44321,2290,2265,10350,1970,1740,0.03,0.51,0.33,0.01,0.02,0.25,0.67,0.13,0.39,0.10,0.17,0.50,43.67,-79.37,31,30,25,37,33,157
75,Church-Yonge Corridor,31340,23044,1260,5060,18780,3235,3010,0.01,0.36,0.16,0.05,0.06,0.18,0.41,0.04,0.58,0.09,0.27,0.61,43.66,-79.38,143,158,172,206,224,904
76,Bay Street Corridor,25797,14097,1695,6860,13065,1760,2420,0.03,0.53,0.32,0.06,0.07,0.33,0.62,0.03,0.63,0.10,0.35,0.74,43.66,-79.39,58,37,61,57,73,286
77,Waterfront Communities-The Island,65913,8943,3650,7840,45105,4680,4635,0.01,0.34,0.13,0.07,0.09,0.17,0.44,0.03,0.67,0.05,0.32,0.72,43.63,-79.38,54,44,62,55,93,323
78,Kensington-Chinatown,17945,11806,1315,3350,8760,1795,2705,0.13,0.49,0.34,0.02,0.04,0.17,0.60,0.18,0.40,0.08,0.22,0.52,43.65,-79.40,71,59,64,95,78,367
79,University,7607,5395,565,1485,3590,650,1320,0.03,0.33,0.16,0.06,0.10,0.17,0.33,0.08,0.57,0.08,0.25,0.55,43.66,-79.40,51,19,32,23,23,148
80,Palmerston-Little Italy,13826,9601,1280,1465,7845,1260,1960,0.05,0.29,0.16,0.05,0.10,0.10,0.21,0.14,0.50,0.07,0.20,0.47,43.66,-79.42,27,15,15,10,12,79
81,Trinity-Bellwoods,16556,9570,1745,1630,9210,1625,2350,0.12,0.40,0.27,0.05,0.11,0.11,0.30,0.22,0.40,0.06,0.16,0.43,43.65,-79.42,22,15,16,17,11,84
82,Niagara,31180,10156,2055,2415,23320,1885,1510,0.02,0.27,0.10,0.06,0.08,0.11,0.35,0.05,0.60,0.05,0.27,0.70,43.63,-79.41,20,15,7,5,8,55
